-1	47	36	-1	-1	-1	-1	-1	27	41	-1	-1	3	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	13	-1	-1	-1	11	39	4	-1	-1	-1	6	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	12	11	40	-1	16	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1
30	-1	23	-1	-1	-1	-1	-1	32	12	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1
-1	-1	19	-1	-1	-1	42	-1	-1	20	36	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	23	20	-1	41	-1	-1	-1	39	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
-1	-1	47	26	-1	-1	-1	-1	-1	7	9	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
-1	5	36	-1	-1	-1	1	-1	-1	23	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1
6	-1	-1	-1	41	12	-1	21	-1	-1	-1	25	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1
-1	-1	-1	-1	-1	47	-1	29	-1	-1	35	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1
-1	-1	3	32	-1	-1	-1	-1	19	24	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
21	-1	-1	-1	-1	33	-1	20	-1	-1	-1	13	3	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
