-1	70	54	-1	-1	-1	-1	-1	41	62	-1	-1	5	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	20	-1	-1	-1	16	59	6	-1	-1	-1	9	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	18	16	60	-1	24	-1	-1	-1	0	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1	-1
45	-1	35	-1	-1	-1	-1	-1	48	18	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1	-1
-1	-1	29	-1	-1	-1	63	-1	-1	30	54	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	34	30	-1	61	-1	-1	-1	59	0	-1	-1	-1	-1	0	0	-1	-1	-1	-1	-1
-1	-1	71	39	-1	-1	-1	-1	-1	10	13	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1	-1
-1	8	54	-1	-1	-1	1	-1	-1	35	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1	-1
9	-1	-1	-1	62	18	-1	32	-1	-1	-1	38	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1	-1
-1	-1	-1	-1	-1	70	-1	44	-1	-1	52	54	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	-1
-1	-1	5	48	-1	-1	-1	-1	29	36	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0
32	-1	-1	-1	-1	49	-1	30	-1	-1	-1	19	5	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
